agent_id,week_start,tasks_completed,tasks_succeeded,tasks_failed,hallucination_count,loop_count,timeout_count,avg_latency_ms,total_cost_usd,quality_score,value_attribution,notes
outreach-01,2026-04-06,38,23,15,1,0,0,3916,6.46,0.63,762.0,
outreach-01,2026-04-13,48,31,17,3,0,0,1283,9.25,0.65,858.63,
outreach-01,2026-04-20,36,23,13,4,1,0,2739,18.14,0.66,872.12,
outreach-01,2026-04-27,55,38,17,1,2,1,2293,10.67,0.69,925.52,
outreach-01,2026-05-04,33,22,11,0,1,0,2370,24.34,0.69,1041.08,
outreach-01,2026-05-11,53,38,15,3,2,0,2450,5.89,0.72,1099.57,
outreach-01,2026-05-18,58,42,16,2,2,0,3785,5.67,0.73,1140.29,
outreach-01,2026-05-25,32,24,8,1,0,1,2038,14.88,0.77,1206.85,
outreach-01,2026-06-01,41,32,9,1,2,1,3774,26.48,0.79,1213.01,
outreach-01,2026-06-08,35,28,7,4,2,0,1569,15.09,0.81,1303.73,
outreach-01,2026-06-15,52,42,10,4,0,2,2228,24.23,0.81,1384.03,
outreach-01,2026-06-22,31,26,5,2,1,1,1171,9.06,0.85,1383.32,
research-02,2026-04-06,40,30,10,1,2,1,2520,25.23,0.77,1230.11,
research-02,2026-04-13,34,25,9,1,2,2,3107,10.31,0.76,1171.43,
research-02,2026-04-20,42,31,11,2,0,0,2987,15.84,0.75,1231.83,
research-02,2026-04-27,34,25,9,1,2,1,3342,5.52,0.76,1228.89,
research-02,2026-05-04,46,34,12,2,2,0,3686,21.3,0.75,1239.69,
research-02,2026-05-11,38,28,10,2,0,1,2680,7.8,0.76,1202.96,
research-02,2026-05-18,53,38,15,2,2,0,2979,25.9,0.73,1217.77,
research-02,2026-05-25,50,38,12,4,2,0,1526,12.97,0.76,1183.88,
research-02,2026-06-01,59,43,16,4,0,2,2227,15.73,0.74,1236.28,
research-02,2026-06-08,56,41,15,2,0,0,1886,25.07,0.73,1189.04,
research-02,2026-06-15,45,34,11,0,2,0,1425,19.83,0.77,1166.85,
research-02,2026-06-22,46,35,11,4,1,0,3108,22.13,0.77,1173.21,
draft-03,2026-04-06,42,36,6,2,1,2,2749,6.9,0.86,1517.04,
draft-03,2026-04-13,48,39,9,4,0,2,1802,4.17,0.81,1397.05,
draft-03,2026-04-20,32,25,7,0,1,0,3005,9.71,0.81,1284.71,
draft-03,2026-04-27,34,26,8,4,2,1,1895,22.83,0.78,1207.14,
draft-03,2026-05-04,33,25,8,3,1,1,2583,15.21,0.76,1115.23,
draft-03,2026-05-11,50,36,14,0,0,1,3882,12.14,0.73,1063.87,
draft-03,2026-05-18,36,25,11,4,1,0,2628,8.4,0.71,939.89,
draft-03,2026-05-25,32,21,11,3,2,0,1107,19.65,0.67,899.96,
draft-03,2026-06-01,32,20,12,1,0,1,2889,15.55,0.65,741.18,
draft-03,2026-06-08,35,22,13,3,0,1,1986,26.24,0.64,722.2,
draft-03,2026-06-15,52,31,21,4,2,2,2893,7.72,0.61,582.82,
draft-03,2026-06-22,48,27,21,4,0,2,2184,5.37,0.57,547.5,
moderator-04,2026-04-06,57,34,23,4,0,0,2980,5.92,0.6,1400.23,
moderator-04,2026-04-13,51,31,20,1,1,0,3233,9.91,0.62,1312.6,
moderator-04,2026-04-20,43,28,15,4,2,2,2195,26.43,0.66,1219.55,
moderator-04,2026-04-27,37,25,12,2,1,0,3651,19.49,0.68,1132.3,
moderator-04,2026-05-04,59,42,17,0,0,1,3444,27.96,0.72,1054.32,
moderator-04,2026-05-11,36,27,9,4,1,0,2329,25.14,0.77,890.86,
moderator-04,2026-05-18,35,27,8,3,2,2,2139,18.68,0.8,819.56,
moderator-04,2026-05-25,30,24,6,4,1,2,1324,26.53,0.83,747.32,
moderator-04,2026-06-01,33,27,6,4,0,1,2054,18.52,0.83,609.23,
moderator-04,2026-06-08,50,43,7,2,2,1,1928,25.73,0.88,521.29,
moderator-04,2026-06-15,43,39,4,2,0,0,2266,22.51,0.91,417.38,
moderator-04,2026-06-22,53,49,4,3,2,2,2651,17.46,0.94,335.96,
architect-05,2026-04-06,52,35,17,1,2,0,2412,17.98,0.68,1035.6,
architect-05,2026-04-13,39,26,13,2,0,1,1760,20.37,0.69,970.2,
architect-05,2026-04-20,47,33,14,3,2,2,1533,26.22,0.71,988.29,
architect-05,2026-04-27,55,37,18,1,1,0,1634,21.68,0.69,973.0,
architect-05,2026-05-04,55,38,17,1,1,0,4125,20.83,0.69,1034.47,
architect-05,2026-05-11,45,31,14,1,0,1,2332,11.32,0.7,963.1,
architect-05,2026-05-18,30,21,9,1,1,1,2041,24.74,0.71,978.21,
architect-05,2026-05-25,50,35,15,4,1,2,3096,11.95,0.72,982.33,
architect-05,2026-06-01,38,25,13,1,2,1,1056,6.6,0.68,1030.16,
architect-05,2026-06-08,40,27,13,3,2,2,1373,13.24,0.7,1018.28,
architect-05,2026-06-15,52,36,16,3,0,2,3105,20.48,0.7,980.38,
architect-05,2026-06-22,36,25,11,2,1,0,3620,26.1,0.72,1018.96,
